,true,predict,value
0,silver azide,silver azide,True
1,silver azide,silver azide,True
2,silver azide,blank,False
3,silver azide,silver azide,True
4,silver azide,silver azide,True
5,silver azide,silver azide,True
6,silver azide,silver azide,True
7,silver azide,silver azide,True
8,silver azide,silver azide,True
9,silver azide,silver azide,True
10,silver azide,silver azide,True
11,silver azide,silver azide,True
12,silver azide,silver azide,True
13,silver azide,silver azide,True
14,silver azide,silver azide,True
15,silver azide,silver azide,True
16,silver azide,silver azide,True
17,silver azide,silver azide,True
18,silver azide,silver azide,True
19,blank,blank,True
20,blank,blank,True
21,blank,blank,True
22,blank,blank,True
23,blank,blank,True
24,blank,blank,True
25,blank,blank,True
26,blank,blank,True
27,blank,blank,True
28,blank,blank,True
29,blank,blank,True
30,blank,blank,True
31,blank,blank,True
32,blank,blank,True
33,blank,blank,True
34,blank,blank,True
35,blank,blank,True
36,blank,blank,True
37,blank,blank,True
38,blank,blank,True
39,silver azide,silver azide,True
40,sugar,sugar,True
41,sugar,sugar,True
42,sugar,sugar,True
43,sugar,sugar,True
44,sugar,sugar,True
45,sugar,sugar,True
46,sugar,sugar,True
47,sugar,sugar,True
48,sugar,sugar,True
49,sugar,sugar,True
50,sugar,tetrazene,False
51,sugar,sugar,True
52,sugar,sugar,True
53,sugar,sugar,True
54,sugar,sugar,True
55,sugar,sugar,True
56,sugar,sugar,True
57,sugar,sugar,True
58,sugar,sugar,True
59,sugar,sugar,True
60,lead azide,lead azide,True
61,lead azide,lead azide,True
62,lead azide,lead azide,True
63,lead azide,lead azide,True
64,lead azide,lead azide,True
65,lead azide,lead azide,True
66,lead azide,lead azide,True
67,lead azide,lead azide,True
68,lead azide,lead azide,True
69,lead azide,lead azide,True
70,lead azide,lead azide,True
71,lead azide,lead azide,True
72,lead azide,lead azide,True
73,lead azide,lead azide,True
74,lead azide,lead azide,True
75,lead azide,lead azide,True
76,lead azide,lead azide,True
77,lead azide,lead azide,True
78,lead azide,lead azide,True
79,lead azide,lead azide,True
80,lead styphnate,blank,False
81,lead styphnate,lead styphnate,True
82,lead styphnate,silver azide,False
83,lead styphnate,lead styphnate,True
84,lead styphnate,lead styphnate,True
85,lead styphnate,lead styphnate,True
86,lead styphnate,lead styphnate,True
87,lead styphnate,lead styphnate,True
88,lead styphnate,silver azide,False
89,lead styphnate,lead styphnate,True
90,lead styphnate,lead styphnate,True
91,lead styphnate,tetrazene,False
92,lead styphnate,lead styphnate,True
93,lead styphnate,lead styphnate,True
94,lead styphnate,lead styphnate,True
95,lead styphnate,lead styphnate,True
96,lead styphnate,lead styphnate,True
97,lead styphnate,lead styphnate,True
98,lead styphnate,lead styphnate,True
99,lead styphnate,lead styphnate,True
100,tetrazene,tetrazene,True
101,tetrazene,tetrazene,True
102,tetrazene,tetrazene,True
103,tetrazene,tetrazene,True
104,tetrazene,tetrazene,True
105,tetrazene,tetrazene,True
106,tetrazene,tetrazene,True
107,tetrazene,tetrazene,True
108,tetrazene,tetrazene,True
109,tetrazene,tetrazene,True
110,tetrazene,tetrazene,True
111,tetrazene,lead styphnate,False
112,tetrazene,tetrazene,True
113,tetrazene,tetrazene,True
114,tetrazene,tetrazene,True
115,tetrazene,tetrazene,True
116,tetrazene,tetrazene,True
117,tetrazene,blank,False
118,tetrazene,tetrazene,True
119,tetrazene,tetrazene,True
